"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,6,659198,1,9
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,6,8900485,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,6,737303,1,8
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,6,4411805,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,7,1127992,1,2
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,7,9980589,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,7,1082933,1,6
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,7,5862098,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,7,430254,1,6
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,7,17627868,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,7,630293,1,8
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,7,3445230,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,7,505776,1,4
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,7,14769881,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,7,459487,1,7
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,7,2579064,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,7,1098718,1,4
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,7,11246997,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,7,539396,1,9
"fpop",fpop,exp,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,7,5571449,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,7,494583,1,7
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,7,3055443,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,7,591138,1,11
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,7,3273932,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,7,623651,1,11
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,7,3506566,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,7,529351,1,11
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,7,4904830,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,7,662929,1,7
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,7,22987265,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,7,622093,1,9
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,7,8561702,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,7,1421921,1,5
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,7,20449406,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,7,671457,1,14
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,7,8384213,1,NA
