"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,5,5879687,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,5,1130329,3,10
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,5,5441971,1,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,5,839229,8,3
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,5,6459755,1,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,5,1329958,5,5
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,5,11316574,3,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,5,716106,3,5
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,5,7954328,3,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,5,554238,3,10
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,5,19429613,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,5,559568,7,6
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,5,7961995,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,5,608071,6,3
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,5,7262904,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,5,589580,8,9
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,5,9516920,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,5,924591,6,9
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,5,4183435,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,5,634065,5,6
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,5,3362123,3,NA
