"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,7,662970,1,8
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,7,3459211,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,7,6152132,1,5
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,7,7026662,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,7,555837,1,14
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,7,13947011,1,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,7,628694,1,5
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,7,11548593,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,7,614262,1,4
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,7,7970441,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,7,1505602,1,8
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,7,20341699,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,7,6301495,2,13
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,7,4935785,2,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,7,1784730,1,20
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,7,9875383,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,7,5119506,2,12
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,7,4914424,2,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,8,1248409,1,9
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,8,4051251,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,8,432427,1,4
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,8,12723243,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,8,1131805,1,7
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,8,7083283,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,8,616435,1,8
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,8,11841456,2,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,8,504874,1,6
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,8,2925719,1,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,8,6436754,2,9
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,8,2624164,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,8,608522,1,3
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,8,6803704,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,8,1194412,1,5
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,8,16879167,1,NA
