"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,4,693720,27,6
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,4,19346629,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,4,634393,18,3
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,4,11161102,1,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,4,793309,19,6
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,4,19674465,5,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,4,782936,13,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,4,5511138,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,5,1226392,1,6
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,5,8327879,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,5,591671,8,5
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,5,8534929,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,5,1417903,6,6
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,5,2935518,1,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,5,736565,4,8
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,5,3546664,1,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,5,3504434,5,2
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,5,2861841,3,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,5,969363,7,5
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,5,16120872,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,5,604791,1,10
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,5,5194987,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,5,2142578,17,5
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,5,11875486,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,5,1266490,12,9
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,5,8463220,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,5,542881,8,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,5,3989792,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,5,12701554,7,5
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,5,8295653,4,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,5,510368,5,5
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,5,4135506,4,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,5,595361,1,9
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,5,14779065,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,5,3924151,17,6
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,5,26867095,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,5,1641312,26,5
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,5,20412957,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,5,612212,19,3
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,5,11739161,1,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,5,1654842,16,6
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,5,5956193,5,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,5,1512613,12,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,5,5050257,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,6,1171206,1,5
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,6,4950873,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,6,542553,11,3
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,6,9957342,2,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,6,4099631,6,5
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,6,7032976,3,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,6,1155995,4,5
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,6,13612697,1,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,6,521151,5,3
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,6,10485094,3,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,6,481094,4,6
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,6,4801387,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,6,572688,2,6
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,6,3331824,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,6,628899,10,1
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,6,7363272,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,6,538125,12,9
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,6,3568886,1,NA
